id|name|status|sources|firstSeen|lastSeen|reason|evidenceUrl|reviewedAt
4631740|《黑街厨神》Mayhem À La Carte|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4631740/|
3644020|《星际清理公司》 (Cleaner Company)|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3644020/|
2698870|《Midnight Murder Club》|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/2698870/|
4640320|17步|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4640320/|
251570|7 Days to Die|pending|horror-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/251570/|
4498480|帮我扶一下，兄弟|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4498480/|
4187140|别慌！还剩一个引擎哈|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4187140/|
3634220|不要偷看|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3634220/|
4986890|菜市场模拟器：美食满屋|pending|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/4986890/|
3798230|唱舞星计划|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3798230/|
4069520|超级高尔夫大乱斗|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4069520/|
2683150|传说酒馆|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/2683150/|
368500|刺客信条：枭雄|pending|funny-multiplayer-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/368500/|
4686110|刺杀主理人|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4686110/|
4614080|大佬要的急|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4614080/|
3955960|叨叨巫师|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3955960/|
3675400|捣蛋蛙（Croak Squad）|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3675400/|
4834490|德州扑克|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4834490/|
5019920|动物厨房 Tasty Chef|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/5019920/|
4137570|分头行动:chibichibi|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4137570/|
4715160|逢考弊过|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4715160/|
4252280|嘎嘎猎杀组|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4252280/|
1151050|高尔夫大乱斗 / Golf Gang|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1151050/|
1945260|果冻快递|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1945260/|
2870790|浣熊模拟器|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/2870790/|
2887580|活性物质|pending|horror-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/2887580/|
322330|饥荒联机版|pending|funny-multiplayer-new;funny-online-new;horror-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/322330/|
